,text
311,"Earth-1 Superman
Under The Red Hood
Kingdom Come
Blackest Night
Batman: Eternal
The Long Halloween
Hush
Preacher
Sandman
The Death of Superman
Metal
The White Knight
War of Light
Siniestro Corps
The Dark Knight Returns
Crisis on Infinite Earths
Flash Rebirth
Batman Year One https://t.co/H6ekiO5dgM"
312,@Rufin_10 Ya Batman Hush et The Dark Night Returns qui sont lourds aussi
313,"Siempre me gusto mucho el concepto del batman de the dark night returns, una lastima que el hijo de puta de snyder solo sabe copiar viñetas."
314,"Top 4 animated #Batman films for me?
-Mask of the Phantasm
-BB Return of the Joker
-The Dark Night Returns (Parts 1&amp;2)
-Under the Red Hood

Agree? Disagree? What are your “Top 4/5?” #dc"
315,The dark night returns cartoon is the CRAZIEST Batman adaptation. This mf is a DEMON😂🥴
316,"@Pablocente Tienes que verte The Dark Night Returns (Parte 1 y 2), de animación, que es buenisima y la segunda parte es el Batman vs Superman del comic.
Yo creo que te agradará ;) https://t.co/v9qdPXJfUr"
317,"@JorgeCFer Mi top es tramposo porque no concibo THE DARK NIGHT sola,es la trilogía entera!:
1)Batman returns 
2)Trilogia NOLAN
3)Zs JUSTICE LEAGUE(no es la mejor pero engloba a los héroes de DC y,solo por eso,ya merece la pena)"
318,"@ProfesorXec Que buen comic! Uno de los más chevere es el The Dark Night Returns (cuando Batman viejo se enfrenta a supermán), es más ha salido en los últimos años una nueva saga que está muy pero muy buena de Batman se llama: The Dark Night: Death Metal. Es retorcida esa historia."
319,I hope you cutie patooties have a good night. I’m about to watch Batman: The Dark Knight Returns part 1 and knock out 😴 had another interesting day at work learning about benefits and other things. https://t.co/sOL03DZbG9
320,"@TheLoneWolf9799 @DarkDefective @ymrslvar @Linekermc Batman did not kill in the dark night returns, my guy.

You would know that if you read the comics."
321,"@MarcioAntonio E eu não sou grande fã do Nolan também. Hehe. Acho que eu perdi o ""timing"" do Batman, que deveria ter acontecido na época do ""The Dark Night Returns"" (confesso que eu ficava fascinado com a arte do Frank Miller). Mas não me pegou."
322,"@GeekZoneGZ a mi me da que es asi, este batman lo pueden poner como en un universo tipo the dark night returns o injustice con un superman que me gustaria que fuera john hamm.
Las posibilidades me ponen a volar"
323,"@LASTEXITshirts The Dark Night
Batman Begins
Batman 89
Batman Returns
The Dark Knight Rises"
324,"movies i've seen 5 times or more: open to anyone

Batman forever 
Avengers: Infinity War
Spider-Man: Far from home 
Avengers end game
The dark knight 
Howls moving castle 
Night of the living dead
The dark knight returns https://t.co/XBGh7vqgMb"
325,"@YoleocomicsESP @for_snyder Y no solo eso, por poner un ejemplo similar, en el cómic Batman The dark Night Returns, para salvar a Carrie Kelley le pega tremenda paliza a los mutantes frente a ella (O eso creo recordar). En general no diría que Batman actuó extraño, actuó estratégico."
326,@EndlessJeopardy What is Batman The Dark Night Returns? https://t.co/lyWMjfvp22
327,"@AmeliaFathiyah captain America is several times opposed to the American government in the comics and in the films of the mcu, batman also in the dark night return"
