,text
65,"@SpiroJesus @AtlantidaDCita Lee los cómics de Dennis O’Neil y ve las películas animadas como The Dark Night Returns (2012). Y te vas a dar cuenta que comparte similitudes. Obvio, cada Batman tiene lo suyo y bueno, depende de gustos y perspectivas 😅."
66,"@LeoBale52 @xMightyPhoenix soy fan de snyder: y estoy de acuerdo en eso de disfrutar de todos los batman pero... el de affleck es mas épico mas como el bruce que salió en the dark night returns, mas obscuro y un traje bellisimo mi top 3 es affleck, bale y keaton pero tiene sus buenas cosas el robert"
67,@GipsyCereal for batman he only read the dark night returns and figured that was enough and thought making batman the punisher was the best option
68,"the dark knight 
the batman 
batman89
batman begins
the dark night rises 
batman forever 
batman returns
batman and robin"
69,@vndettasrevenge he is late 40's batman adapted from the animated movie batman: the dark night returns and if you've watched that movie you'd say that affleck killed the role fr
70,"Variety publicó las 50 mejores actuaciones dentro de las películas de superhéroes en los últimos 50 años.

Aquí el Top 3:

1 - Heath Ledger (The Dark Night)

2 - Michelle Pfeiffer (Batman Returns)

3 - Michael B. Jordan (Black Panther)"
71,@GabyMeza8 Uff un Batman para el live action de the dark night return
72,"I’m obsessed with the animated Batman Movies🙇‍♂️💐 
The Dark Night Returns 1&amp;2 and The Killing Joke are my favorite Batman movies:)"
73,@hurts2be @Pink Is this going to be a song on the Return of the Dark night sound track? The newest Batman movie in production??
74,"""im not me because i witnessed m * rd * r thrice im me because i read batman the dark night returns as a 3yo""~ @CumbiusSweep"
75,"Mi top de películas de DC en Live action:

1.- Watchmen
2.- Superman II
3.- Batman Returns 
4.- Batman Begins
5.- Batman v Superman

Bonus:

- The Dark Night
- ZSJL
- MOS
- Superman The Movie
- Joker
- Batman 89

Compartan el suyo! https://t.co/AXFgYbPYAA https://t.co/jdXSUj8nsX"
76,"Mi top de películas de DC en Live action:

1.- Watchmen
2.- Superman II
3.- Batman Returns 
4.- Batman Begins
5.- Batman v Superman

Bonus:

- The Dark Night
- ZSJL
- MOS
- Superman The Movie
- Joker
- Batman 89

Compartan el suyo! https://t.co/fKiGDRVlFw https://t.co/MwNY5PHrXG"
77,"@notsab_sol I'm a huge fan of Frank Miller! I wanted to catch a similar vibe of batman the dark night return's, also loved his daredevil born again 🌑"
78,@ichiijiku @ZacksnyderB @tomtom8647 @its_a_warning @snyder_all I only see a few and The Dark Night Return part 1 and 2 is the best of batman that I ever seen without lego batman of course
